,POP,RHO,R0
332,51585,17.484539308403345,2.872460843706176
333,51626,18.492785338508853,2.407581954367176
334,52342,29.764594031056465,2.745615729360499
335,52600,18.40706260095014,1.8545545117170674
336,52607,37.12590570569002,2.0727066788312865
337,52646,19.30520265420684,1.740623219048572
338,53006,8.773218217905583,2.013291149428654
339,53347,28.22784960160248,3.256863929973149
340,53383,41.5992833293578,2.902891842033159
341,53484,48.82419446788758,1.8955845572917387
342,53794,48.28745767531717,2.7402727211779485
343,54018,4.38349674256886,2.0988563404875396
344,54019,33.016347306132175,2.598318112499651
345,54062,25.170460005497628,2.230681875550754
346,54320,26.98564440223494,2.3486406179235106
347,54369,19.51082515441988,2.892022822296308
348,54478,9.471010065369056,1.3656267359108616
349,54522,2.0448948215500904,2.3452950724496544
350,54609,40.9990004949851,2.005669377202155
351,54666,34.42990344120795,2.312024154585249
352,54807,0.9913562084487024,1.9933272368391615
353,55125,27.94944752371444,2.882729097584467
354,55127,12.63530835577638,3.34061355882655
355,55175,31.13348747254484,2.7166257246635506
356,55178,38.66329190273875,1.8605105380122275
357,55199,17.628814435961132,3.036010548913291
358,55535,26.44363384811798,2.7484844486210367
359,55682,29.005452912630467,1.9693744139571554
360,55916,149.2409041144006,2.416012313938428
361,55949,53.92528645730175,2.882729097584467
362,56072,70.12185285165788,2.1478449041337258
363,56154,14.6064479947998,2.788550488318296
364,56177,69.39455269375925,1.6865516403426406
365,56221,12.828560001270512,2.534830307590171
366,56414,24.274994629844844,1.970322010039298
367,57189,19.8869639836577,2.7886567214810163
368,57280,44.86515623773708,2.8879357030270296
369,57300,56.342770140967055,2.121640604497316
370,57510,11.095714652098604,2.3879455195971397
371,57735,20.97826631988123,2.996575573165737
372,57963,62.89743593360693,2.653037828332256
373,58162,12.366251449040528,2.245988913186237
374,58191,24.16335158156156,2.231117199224843
375,58266,45.77115991154648,2.233514478139486
376,58409,32.81541471085001,2.221970709613812
377,58460,5.405385063552618,1.8168182970510192
378,58518,55.31600537109168,2.446893906799425
379,58595,44.75391609177291,2.575765356664676
380,58722,17.723204721938366,1.8168182970510192
381,58746,11.501545727004256,2.451325835082013
382,59461,36.17071585119985,3.0026250656593576
383,59493,22.93128708223048,2.45571444814629
384,59911,36.60246567346588,2.6848882454560616
385,59928,16.05750606416829,2.1086614846787675
386,60323,20.298704541340065,2.182038596601643
387,60443,43.90214955145256,2.9271257327355706
388,60520,34.31096334492661,2.59067405746919
389,60964,47.02096313994275,2.6681727941824556
390,61056,22.271528880124304,1.94393278720722
391,61303,59.13877512708184,2.1803056743582108
392,61387,27.74349404963585,2.472011173146449
393,61779,93.555443022026,3.17955871769451
394,61998,19.06834885685406,2.260328614042457
395,62322,45.79068728719531,2.0276553862173534
396,62680,29.747123349237544,2.328611292553369
397,62806,61.37695423680896,2.189581106878304
398,62990,16.385140012439074,2.467694396577712
399,63111,61.95728716006375,2.6538641907815026
400,63130,9.975533317720329,2.247916869085049
401,64154,34.665982071969225,2.6984604267574093
402,64386,19.78531704905804,2.096867588716844
403,64442,29.94473592620181,2.5084113003161908
404,64487,15.598874555000783,2.1545381085683584
405,64615,4.113227492857122,2.111318352369116
406,64633,20.40159768376384,1.9881813456957604
407,64697,43.72402709528564,2.7665880364293587
408,64745,11.688113438660483,2.64797686987603
409,64979,38.10455033856866,2.23337382974484
410,65084,8.51912816139808,1.645758583030511
411,65093,62.24596897273735,3.9839378335099984
412,65204,26.59717452541845,2.7147660140521914
413,65327,50.08494821838745,1.878995338396348
414,65769,61.326433437429166,2.7393304508550766
415,65884,63.31915626484253,2.4893632038753095
416,66553,28.55285182081116,2.221970709613812
417,66699,14.240494167501463,2.359612666704418
418,66768,26.869515518907864,2.166541923872826
419,66972,52.1665491000546,3.036010548913291
420,67029,45.874187325928894,2.751639672204861
421,67215,57.42932450759577,2.166541923872826
422,67490,3.940282413217645,1.9631609835665285
423,67997,32.39393911242884,2.1146757819825157
424,68122,49.56362805873802,2.877783016149584
425,68238,4.434690525533053,2.236577259630279
426,68412,35.018692811554885,3.3184148854060607
427,69069,42.86218809580593,2.247216787616769
428,69473,52.984794318127655,2.189581106878304
429,69493,21.283175850552187,3.000425168437724
430,69872,47.10764506811166,2.5413828976964172
431,69922,65.21150558446146,2.860955214779279
432,70180,38.74696147189426,3.05481740740898
433,70772,34.127362398332075,1.743019111363682
434,71070,6.249280776544932,2.0059174499189414
435,71367,5.056107690878444,3.97731204679097
436,71686,34.70290040747806,2.685946369934074
437,71783,52.08005715362388,2.869281301554419
438,72293,45.02283246073168,1.9434276360638867
439,72592,35.58317471504466,2.3828335264406144
440,72977,82.95486037934369,2.7515503257655234
441,72999,35.53679403487755,1.6000579506763373
442,73447,26.394924521268337,2.2114432356313722
443,73738,69.51088986344614,2.0422205506641133
444,74228,29.14679385267621,2.5665203446234344
445,74266,113.98525709226934,2.739801821643546
446,74521,39.54342496438646,2.7500544538490934
447,75061,15.236921121686343,1.8436045204976146
448,75211,21.348435672378507,2.33738855619773
449,75314,47.65370033064761,1.886545251085159
450,75713,6.135831339219889,2.1276130603278114
451,75758,32.559182797948566,2.137986737177948
452,75783,55.06595445619836,2.2569164099470562
453,76085,41.5708372858912,2.3385267888088936
454,76117,22.462493284521035,2.3468189234345562
455,76576,42.75141439316228,2.4395973142255305
456,76666,42.95008952650532,2.407581954367176
457,77331,17.175984397398054,2.013291149428654
458,77828,7.669072713250486,2.8166492088916533
459,78753,29.376051809100467,2.0873922449367748
460,78981,51.76647415392577,2.2114432356313722
461,79255,26.73176506078876,2.143972313120611
462,79456,57.73268146710881,2.4311201022650457
463,79546,49.03603741277172,2.219362886198999
464,79608,45.68404086841685,2.296125238844538
465,79858,5.773629936840213,2.345792314014683
466,80485,29.94198542688209,2.426575900853409
467,80707,12.968621550276286,2.176568429541365
468,80994,35.1333176103705,2.4089038585020295
